,away_WP,to_WP,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0,day_1,day_2,day_3,day_4,day_5,day_6,month_1,month_2,month_3,month_4,month_11,month_12,vet_day,thanksgiv,xmas,new_years,mlk_day,pres_day,new_years_sat,mlk_sat,new_years_sun,mlk_sun,new_years_fri,mlk_fri,new_years_mon,mlk_mon,spring_break,spring_break_ends
11/29/13,3517,4694,3663,0,22,37,9,26,31,6,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/13,4777,3197,4840,0,22,48,13,26,31,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/13,5048,1865,3260,0,22,49,16,35,31,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/2/13,1965,1579,77,1,22,50,14,35,32,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/13,1328,1544,-309,2,23,45,12,32,34,1,1,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/13,1038,1190,-93,4,26,46,11,33,38,3,3,7,7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/13,1467,1692,59,3,29,66,16,23,41,7,6,9,10,10,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/13,1673,3145,284,0,28,67,15,47,41,10,7,7,9,10,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/13,3146,3603,1756,1,29,76,21,54,42,10,3,4,8,10,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/13,3857,2042,2213,3,29,75,21,54,45,11,1,4,7,11,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/13,1826,1607,398,2,29,76,19,54,47,14,4,6,6,9,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/13,1637,1747,179,1,29,80,19,56,48,15,5,6,7,7,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/13,1939,1971,289,0,29,85,18,60,48,14,3,3,6,7,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/13,2068,2260,321,0,27,90,18,63,48,10,1,1,3,6,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/13,2189,4321,513,0,27,108,20,76,48,7,0,0,1,3,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/13,3964,4659,2645,4,30,102,20,72,52,7,0,4,4,5,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/13,5638,3365,3340,2,29,101,20,72,54,10,4,6,6,6,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/13,2521,2152,1067,0,31,106,19,75,54,9,6,6,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/13,2177,2200,698,0,31,109,19,77,54,7,2,2,6,6,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/13,2367,2370,721,0,30,109,19,77,54,6,0,0,2,6,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/13,2230,2630,724,0,39,104,19,73,54,6,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/13,2582,4628,1124,1,28,107,19,75,55,6,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/13,3457,5015,3170,8,36,107,23,75,63,7,1,9,9,9,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/13,4369,4001,4728,6,36,115,22,81,69,11,9,15,15,15,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/13,4304,4299,4360,4,40,115,22,81,73,15,14,18,19,19,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/24/13,3086,3563,4355,1,38,116,22,82,74,19,10,11,19,20,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/25/13,3020,3384,4832,4,38,116,22,82,78,20,5,9,15,23,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/26/13,4229,5805,5196,0,37,116,22,82,78,24,5,5,9,15,23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/27/13,5236,7241,6772,0,36,123,22,87,78,24,4,4,5,9,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/13,5285,5831,8777,0,35,130,23,87,78,23,0,0,4,5,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/13,5781,4570,9323,8,39,123,23,87,86,15,0,8,8,12,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/13,5740,5492,8112,2,39,123,23,87,88,17,8,10,10,10,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/13,4068,5065,7864,1,40,129,23,91,89,15,10,11,11,11,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/14,6981,4681,8861,8,49,130,22,91,97,15,3,11,19,19,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/14,5351,4436,6561,2,45,123,23,87,99,19,9,11,13,21,21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/14,5410,6077,5646,0,41,125,23,88,99,21,10,10,11,13,21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/14,4497,3863,6313,3.5,42,126,23,88.5,103.5,21,2,5.5,13.5,14.5,16.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/14,6095,2785,5679,4,45,127,23,89,110,24.5,3.5,7.5,9.5,17.5,18.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/14,3032,2249,2369,1,45,127,21,89,111,20.5,7.5,8.5,8.5,10.5,18.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/14,2443,2458,1586,0,45,133,21,94,111,19.5,5,5,8.5,8.5,10.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/14,2378,2361,1601,3,45,133,21,94,114,18.5,1,4,8,11.5,11.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/14,2594,2852,1584,3,45,133,20,94,117,13.5,3,6,7,11,14.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/14,2605,5570,1842,5,48,135,20,95,122,14.5,6,11,11,12,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
