,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
12/19/14,3046,5245,4,3202,6,38,88,18,62,60,28.5,9,10,11,23,23
12/20/14,3949,5553,5,4806,0,39,107,23,62,60,28.5,6,9,10,11,11
12/21/14,4562,3840,6,4084,2,36,108,22,76,62,25,2,8,11,12,12
12/22/14,3491,3580,0,4173,9,45,109,22,77,71,22,11,11,17,20,20
12/23/14,3995,4154,1,4332,6,45,110,22,77,77,27,15,17,17,23,23
12/24/14,3370,4095,2,5057,0,46,111,22,78,77,26,6,15,17,17,17
12/25/14,2445,3502,3,6114,0,47,115,22,81,77,23,0,6,15,17,17
12/26/14,3477,5225,4,7862,3,44,115,22,81,80,20,3,3,9,18,18
12/27/14,5310,5478,5,8030,2,42,119,23,81,82,22,5,5,5,11,11
12/28/14,5459,4136,6,6707,0,43,120,24,84,82,20,2,5,5,5,5
12/29/14,3801,3297,0,6203,6,46,118,22,83,88,17,6,8,11,11,11
12/30/14,3191,3392,1,6404,0,46,118,22,83,88,11,6,6,8,11,11
12/31/14,3832,5651,2,8223,0,44,119,22,84,88,11,0,6,6,8,8
1/1/15,5268,4362,3,7317,0,42,125,23,88,88,11,0,0,6,6,6
1/2/15,,,4,,0,42,124,23,87,88,8,0,0,0,6,6
1/3/15,,,5,,2,42,126,24,89,90,8,2,2,2,2,2
1/4/15,,,6,,4,45,131,24,89,94,12,6,6,6,6,6
1/5/15,,,0,,1,45,131,20,92,95,7,5,7,7,7,7
1/6/15,,,1,,0,45,131,20,92,95,7,1,5,7,7,7
1/7/15,4500,0,2,2817,0,44,131,19,92,95,7,0,1,5,7,7
1/8/15,2647,2833,3,3003,0,42,131,19,92,95,7,0,0,1,5,5
1/9/15,2698,5162,4,5467,0,42,131,19,92,95,7,0,0,0,1,1
1/10/15,4990,4706,5,5183,0,41,130,25,91,95,5,0,0,0,0,0
1/11/15,6317,2781,6,1647,0,41,130,25,91,95,1,0,0,0,0,0
1/12/15,2514,1932,0,1065,4,44,130,19,91,99,4,4,4,4,4,4
1/13/15,1935,1884,1,1014,0,43,130,19,91,99,4,4,4,4,4,4
1/14/15,0,90,2,1104,0,43,130,19,91,99,4,0,4,4,4,4
1/15/15,2597,3221,3,1728,0,42,130,19,91,99,4,0,0,4,4,4
1/16/15,3100,7282,4,5910,0,41,130,19,91,99,4,0,0,0,4,4
1/17/15,4266,6008,5,7652,0,41,130,25,91,99,4,0,0,0,0,0
1/18/15,6615,4023,6,5060,1,44,130,24,91,100,5,1,1,1,1,1
1/19/15,6871,2849,0,1038,0,43,130,20,91,100,1,1,1,1,1,1
1/20/15,2294,2081,1,825,6,48,132,19,93,106,7,6,7,7,7,7
1/21/15,2135,2238,2,928,6,49,132,19,93,112,13,12,12,13,13,13
1/22/15,2591,3471,3,1808,3,50,132,19,93,115,16,9,15,15,16,16
1/23/15,2947,7114,4,5975,0,50,135,19,95,115,16,3,9,15,15,15
1/24/15,5349,6002,5,6628,0,50,135,24,95,115,16,0,3,9,15,15
1/25/15,8318,3779,6,2089,1.7,50,135,24,95,117,16.7,1.7,1.7,4.7,10.7,10.7
1/26/15,2989,1987,0,1087,0,48,135,20,95,117,16.7,1.7,1.7,1.7,4.7,4.7
1/27/15,2111,2008,1,984,0,47,135,19,95,117,10.7,0,1.7,1.7,1.7,1.7
1/28/15,2064,2191,2,1111,0,45,135,19,95,117,4.7,0,0,1.7,1.7,1.7
1/29/15,2091,2900,3,1920,0,45,135,19,95,117,1.7,0,0,0,1.7,1.7
1/30/15,2659,6595,4,5856,0,44,135,19,95,117,1.7,0,0,0,0,0
1/31/15,4451,4915,5,6320,0,44,135,24,95,117,1.7,0,0,0,0,0
2/1/15,7561,3364,6,2123,2,45,135,23,95,119,2,2,2,2,2,2
2/2/15,2815,1784,0,1092,0,46,135,19,95,119,2,2,2,2,2,2
2/3/15,2145,2135,1,1082,4,47,135,19,95,123,6,4,6,6,6,6
2/4/15,1900,2092,2,1274,0,45,135,19,95,123,6,4,4,6,6,6
2/5/15,3128,3998,3,2144,10,55,135,19,95,133,16,10,14,14,16,16
2/6/15,3238,7332,4,6238,0,55,135,20,95,133,16,10,10,14,14,14
2/7/15,5221,5771,5,6788,0,55,135,24,95,133,16,0,10,10,14,14
2/8/15,8542,3553,6,1799,0,53,135,23,95,133,14,0,0,10,10,10
2/9/15,2858,1966,0,907,0,52,135,19,97.5,133,14,0,0,0,10,10
2/10/15,1908,1954,1,953,0,52,135,19,95,133,10,0,0,0,0,0
2/11/15,2314,2532,2,1171,4,52,135,19,95,137,14,4,4,4,4,4
2/12/15,2488,3832,3,2515,0,52,135,19,95,137,4,4,4,4,4,4
2/13/15,3467,7733,4,6781,0,51,135,19,95,137,4,0,4,4,4,4
2/14/15,3955,5297,5,8123,0,51,135,24,95,137,4,0,0,4,4,4
2/15/15,6259,3424,6,5288,0,50,135,23,95,137,4,0,0,0,4,4
2/16/15,6074,2352,0,1566,7,50,135,23,95,144,11,7,7,7,7,7
2/17/15,3273,2519,1,812,3,60,135,19,95,147,14,10,10,10,10,10
