,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2014-03-06,3.0,7423.0,0.0,81.0,135.0,19.0,95.0,286.0,23.0,6.0,7.0,14.0,16.0,23.0
2014-03-07,4.0,8181.0,1.0,78.0,135.0,19.0,95.0,287.0,23.0,5.0,6.0,7.0,14.0,16.0
2014-03-08,5.0,10049.0,12.0,87.0,135.0,19.0,95.0,299.0,17.0,1.0,6.0,7.0,8.0,15.0
2014-03-09,,,0.0,87.0,135.0,23.0,95.0,299.0,27.0,13.0,13.0,18.0,19.0,20.0
2014-03-10,0.0,12022.0,0.0,87.0,135.0,23.0,95.0,299.0,20.0,12.0,13.0,13.0,18.0,19.0
2014-03-11,1.0,11728.0,2.0,89.0,135.0,20.0,95.0,301.0,19.0,0.0,12.0,13.0,13.0,18.0
2014-03-12,2.0,11681.0,1.5,89.0,135.0,19.0,95.0,303.0,18.0,2.5,2.5,8.5,15.0,15.5
2014-03-13,3.0,11711.0,0.0,85.0,135.0,19.0,95.0,304.0,18.0,3.0,5.0,5.0,5.0,17.0
2014-03-14,4.0,11949.0,0.0,83.0,135.0,21.0,95.0,304.0,17.0,2.0,3.0,5.0,5.0,5.0
2014-03-15,5.0,14375.0,0.0,82.0,135.0,21.0,95.0,304.0,5.0,0.0,2.0,3.0,5.0,5.0
2014-03-16,6.0,15080.0,1.0,82.0,135.0,23.0,95.0,305.0,5.0,0.0,0.0,2.0,3.0,5.0
2014-03-17,0.0,12135.0,0.0,82.0,135.0,19.0,95.0,305.0,6.0,1.0,1.0,1.0,3.0,4.0
2014-03-18,1.0,11771.0,4.0,85.0,135.0,19.0,95.0,309.0,4.0,1.0,1.0,1.0,1.0,3.0
2014-03-19,2.0,11640.0,2.0,84.0,135.0,20.0,95.0,311.0,7.0,4.0,5.0,5.0,5.0,5.0
2014-03-20,3.0,11542.0,0.0,83.0,141.0,20.0,99.0,311.0,7.0,6.0,6.0,7.0,7.0,7.0
2014-03-21,4.0,11723.0,0.0,81.0,141.0,20.0,99.0,311.0,7.0,2.0,6.0,6.0,7.0,7.0
2014-03-22,5.0,14104.0,0.0,80.0,141.0,25.0,99.0,311.0,7.0,0.0,2.0,6.0,6.0,7.0
2014-03-23,6.0,14895.0,5.0,82.0,141.0,22.0,99.0,316.0,7.0,0.0,0.0,2.0,6.0,6.0
2014-03-24,0.0,12609.0,,,,,,,,,,,,
2014-03-25,1.0,12209.0,0.0,83.0,141.0,22.0,99.0,316.0,11.0,5.0,5.0,5.0,7.0,11.0
2014-03-26,2.0,12022.0,0.0,80.0,141.0,22.0,99.0,316.0,11.0,5.0,5.0,5.0,5.0,7.0
2014-03-27,3.0,11929.0,4.0,80.0,141.0,22.0,99.0,320.0,7.0,0.0,5.0,5.0,5.0,5.0
2014-03-28,4.0,12322.0,5.0,85.0,141.0,24.0,99.0,325.0,9.0,4.0,4.0,9.0,9.0,9.0
2014-03-29,5.0,13916.0,1.0,84.0,141.0,24.0,99.0,326.0,14.0,9.0,9.0,9.0,14.0,14.0
2014-03-30,6.0,13486.0,0.0,84.0,141.0,23.0,99.0,326.0,15.0,6.0,10.0,10.0,10.0,15.0
2014-03-31,0.0,10330.0,5.0,85.0,143.0,20.0,100.0,331.0,15.0,1.0,6.0,10.0,10.0,10.0
2014-04-01,1.0,9748.0,1.0,85.0,143.0,19.0,100.0,332.0,15.0,5.0,6.0,11.0,15.0,15.0
2014-04-02,2.0,9603.0,1.0,87.0,143.0,20.0,100.0,333.0,16.0,6.0,6.0,7.0,12.0,16.0
2014-04-03,3.0,9686.0,10.0,93.0,143.0,19.0,100.0,343.0,17.0,2.0,7.0,7.0,8.0,13.0
2014-04-04,4.0,9994.0,3.0,94.0,143.0,19.0,100.0,346.0,23.0,11.0,12.0,17.0,17.0,18.0
2014-04-05,5.0,11458.0,0.0,90.0,143.0,24.0,100.0,346.0,21.0,13.0,14.0,15.0,20.0,20.0
2014-04-06,6.0,11645.0,3.0,91.0,143.0,23.0,100.0,349.0,20.0,3.0,13.0,14.0,15.0,20.0
2014-04-07,0.0,9337.0,2.0,92.0,143.0,19.0,100.0,351.0,23.0,3.0,6.0,16.0,17.0,18.0
2014-04-08,1.0,8836.0,1.0,92.0,143.0,19.0,100.0,352.0,20.0,5.0,5.0,8.0,18.0,19.0
2014-04-09,2.0,8761.0,0.0,90.0,143.0,19.0,100.0,352.0,20.0,3.0,6.0,6.0,9.0,19.0
2014-04-10,3.0,8800.0,0.0,84.0,143.0,19.0,100.0,352.0,19.0,1.0,3.0,6.0,6.0,9.0
2014-04-11,4.0,9090.0,0.0,83.0,143.0,19.0,100.0,352.0,9.0,0.0,1.0,3.0,6.0,6.0
2014-04-12,5.0,10536.0,0.0,82.0,143.0,23.0,100.0,352.0,6.0,0.0,0.0,1.0,3.0,6.0
2014-04-13,6.0,11032.0,1.0,81.0,143.0,22.0,100.0,353.0,6.0,0.0,0.0,0.0,1.0,3.0
2014-04-14,0.0,9230.0,3.0,81.0,143.0,19.0,100.0,356.0,4.0,1.0,1.0,1.0,1.0,2.0
2014-04-15,1.0,8725.0,0.0,81.0,143.0,19.0,100.0,356.0,5.0,4.0,4.0,4.0,4.0,4.0
2014-04-16,2.0,8649.0,2.0,81.0,143.0,19.0,100.0,358.0,4.0,3.0,4.0,4.0,4.0,4.0
2014-04-17,3.0,8628.0,0.0,81.0,143.0,19.0,100.0,358.0,6.0,2.0,3.5,5.5,6.0,6.0
2014-04-18,4.0,9023.0,0.0,81.0,143.0,19.0,100.0,358.0,6.0,0.0,2.0,2.0,5.0,6.0
2014-04-19,5.0,10888.0,0.0,78.0,143.0,22.0,100.0,358.0,6.0,0.0,0.0,2.0,2.0,5.0
2014-04-20,6.0,11413.0,1.0,78.0,143.0,21.0,100.0,359.0,3.5,0.0,0.0,0.0,1.0,2.0
2014-04-21,0.0,8952.0,0.0,77.0,108.0,8.0,76.0,360.0,4.0,2.0,2.0,2.0,2.0,2.0
2014-04-22,1.0,8207.0,0.0,77.0,112.0,8.0,79.0,360.0,2.0,2.0,2.0,2.0,2.0,2.0
2014-04-23,2.0,8111.0,0.0,77.0,112.0,9.0,79.0,360.0,2.0,0.0,2.0,2.0,2.0,2.0
2014-04-24,3.0,8070.0,1.0,91.0,112.0,9.0,79.0,361.0,2.0,0.0,0.0,2.0,2.0,2.0
2014-04-25,4.0,8277.0,0.0,75.0,101.0,8.0,71.0,361.0,3.0,1.0,1.0,1.0,3.0,3.0
2014-04-26,5.0,9251.0,0.0,75.0,95.0,8.0,67.0,361.0,3.0,1.0,1.0,1.0,1.0,3.0

2014-11-14,4.0,1632.0,,,,,,,,,,,,
2014-11-15,5.0,1901.0,5.0,18.0,3.0,3.0,3.0,0.0,,,,,,
2014-11-16,6.0,0.0,10.0,18.0,5.0,4.0,4.0,10.0,,,,,,
2014-11-17,0.0,-223.0,0.0,18.0,6.0,4.0,5.0,10.0,,15.0,,,,
2014-11-18,1.0,-236.0,0.0,18.0,7.0,4.0,1.0,10.0,,10.0,15.0,,,
2014-11-19,2.0,-224.0,0.0,18.0,8.0,4.0,6.0,10.0,,0.0,10.0,15.0,,
2014-11-20,3.0,-55.0,0.0,18.0,11.0,4.0,8.0,10.0,,0.0,0.0,10.0,15.0,
2014-11-21,4.0,1267.0,0.0,18.0,11.0,4.0,8.0,10.0,,0.0,0.0,0.0,10.0,15.0
2014-11-22,5.0,2032.0,0.0,18.0,12.0,4.0,9.0,10.0,15.0,0.0,0.0,0.0,0.0,10.0
2014-11-23,6.0,1115.0,6.0,18.0,12.0,4.0,9.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0
2014-11-24,0.0,1128.0,4.0,22.0,12.0,4.0,9.0,20.0,6.0,6.0,6.0,6.0,6.0,6.0
2014-11-25,1.0,1455.0,2.66666666667,22.0,12.0,4.0,9.0,25.3333333333,12.6666666667,7.33333333333,10.6666666667,12.6666666667,12.6666666667,12.6666666667
2014-11-26,2.0,3268.0,8.0,31.0,26.0,8.0,19.0,36.0,18.0,6.0,8.0,12.0,18.0,18.0
2014-11-27,3.0,4163.0,0.0,30.0,26.0,8.0,19.0,36.0,26.0,10.0,14.0,16.0,20.0,26.0
2014-11-28,4.0,5363.0,0.0,29.0,43.0,18.0,31.0,36.0,26.0,8.0,10.0,14.0,16.0,20.0
2014-11-29,5.0,3562.0,0.0,27.0,44.0,18.0,31.0,36.0,20.0,0.0,8.0,10.0,14.0,16.0
2014-11-30,6.0,284.0,0.0,26.0,43.0,18.0,31.0,36.0,16.0,0.0,0.0,8.0,10.0,14.0
2014-12-01,0.0,-147.0,0.0,25.0,43.0,18.0,31.0,36.0,14.0,0.0,0.0,0.0,8.0,10.0
2014-12-02,1.0,-153.0,0.0,24.0,43.0,18.0,31.0,36.0,10.0,0.0,0.0,0.0,0.0,8.0
2014-12-03,2.0,-104.0,0.0,24.0,43.0,18.0,31.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,3.0,155.0,0.0,23.0,43.0,15.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-05,4.0,2084.0,0.0,22.0,43.0,15.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-06,5.0,2642.0,1.0,22.0,43.0,18.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-07,6.0,411.0,0.0,22.0,43.0,18.0,31.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-08,0.0,150.0,0.0,22.0,43.0,16.0,31.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-09,1.0,78.0,0.0,22.0,43.0,15.0,31.0,37.0,1.0,0.0,1.0,1.0,1.0,1.0
2014-12-10,2.0,87.0,0.0,22.0,43.0,15.0,31.0,37.0,1.0,0.0,0.0,1.0,1.0,1.0
